country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Telangana,Hyderabad,"Somajiguda, Hyderabad - TSPCB",15-01-2026 12:00,17.417094,78.457437,OZONE,18,41,19
India,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",15-01-2026 12:00,17.349694,78.451437,PM10,64,145,103
India,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",15-01-2026 12:00,17.349694,78.451437,NO2,9,18,14
India,Tripura,Agartala,"Bardowali, Agartala - Tripura SPCB",15-01-2026 12:00,23.8175497,91.2726974,PM2.5,16,62,37
India,Tripura,Agartala,"Bardowali, Agartala - Tripura SPCB",15-01-2026 12:00,23.8175497,91.2726974,NH3,7,8,7
India,Uttar_Pradesh,Agra,"Manoharpur, Agra - UPPCB",15-01-2026 12:00,27.23711,78.01936,NO2,32,32,32
India,Uttar_Pradesh,Lucknow,"B R Ambedkar University, Lucknow - UPPCB",15-01-2026 12:00,26.766433,80.927299,PM2.5,21,190,94
India,Uttar_Pradesh,Lucknow,"B R Ambedkar University, Lucknow - UPPCB",15-01-2026 12:00,26.766433,80.927299,NH3,4,6,5
India,Uttar_Pradesh,Lucknow,"Gomti Nagar, Lucknow - UPPCB",15-01-2026 12:00,26.86812,81.005119,CO,26,34,29
India,Uttar_Pradesh,Lucknow,"Kendriya Vidyalaya, Lucknow - CPCB",15-01-2026 12:00,26.906111,80.948222,PM2.5,78,364,252
India,Uttar_Pradesh,Lucknow,"Kendriya Vidyalaya, Lucknow - CPCB",15-01-2026 12:00,26.906111,80.948222,NH3,12,17,15
India,Uttar_Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",15-01-2026 12:00,26.8458805,80.9365541,PM2.5,30,325,141
India,Uttar_Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",15-01-2026 12:00,26.8458805,80.9365541,PM10,12,500,252
India,Telangana,Hyderabad,"Kompally Municipal Office, Hyderabad - TSPCB",15-01-2026 12:00,17.544899,78.486949,CO,NA,NA,NA
India,Telangana,Hyderabad,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",15-01-2026 12:00,17.429398,78.569354,NH3,4,4,4
India,Telangana,Hyderabad,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",15-01-2026 12:00,17.429398,78.569354,CO,32,38,37
India,Telangana,Hyderabad,"New Malakpet, Hyderabad - TSPCB",15-01-2026 12:00,17.37206,78.50864,NO2,9,12,11
India,Telangana,Hyderabad,"Ramachandrapuram, Hyderabad - TSPCB",15-01-2026 12:00,17.528544,78.286195,NO2,13,17,14
India,Telangana,Hyderabad,"Ramachandrapuram, Hyderabad - TSPCB",15-01-2026 12:00,17.528544,78.286195,NH3,3,4,3
India,Telangana,Hyderabad,"Ramachandrapuram, Hyderabad - TSPCB",15-01-2026 12:00,17.528544,78.286195,OZONE,27,34,33
India,Uttar_Pradesh,Gorakhpur,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",15-01-2026 12:00,26.730136,83.433859,NO2,10,12,11
India,Uttar_Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",15-01-2026 12:00,28.47272,77.482,NH3,NA,NA,NA
India,Uttar_Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",15-01-2026 12:00,28.47272,77.482,SO2,NA,NA,NA
India,Uttar_Pradesh,Greater Noida,"Knowledge Park - V, Greater Noida - UPPCB",15-01-2026 12:00,28.557054,77.453663,OZONE,3,130,12
India,Uttar_Pradesh,Hapur,"Anand Vihar, Hapur - UPPCB",15-01-2026 12:00,28.725645,77.749675,NO2,4,22,11
India,Uttar_Pradesh,Baghpat,"Sardar Patel Inter College, Baghpat - UPPCB",15-01-2026 12:00,28.964949,77.278761,SO2,5,12,8
India,Uttar_Pradesh,Bareilly,"Civil Lines, Bareilly - UPPCB",15-01-2026 12:00,28.359581,79.414455,SO2,26,39,31
India,Uttar_Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",15-01-2026 12:00,28.406963,77.849831,PM10,105,308,214
India,Uttar_Pradesh,Firozabad,"Nagla Bhau, Firozabad - UPPCB",15-01-2026 12:00,27.168897,78.37696,NO2,17,17,17
India,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",15-01-2026 12:00,17.5184,78.278777,PM10,58,116,85
India,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",15-01-2026 12:00,17.5184,78.278777,SO2,1,11,6
India,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",15-01-2026 12:00,17.5316895,78.218939,PM2.5,38,146,78
India,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB",15-01-2026 12:00,17.5316895,78.218939,NO2,22,23,23
India,Telangana,Hyderabad,"Kokapet, Hyderabad - TSPCB",15-01-2026 12:00,17.393559,78.339194,CO,20,28,23
India,Uttar_Pradesh,Kanpur,"NSI Kalyanpur, Kanpur - UPPCB",15-01-2026 12:00,26.509954,80.249612,PM10,99,191,145
India,Uttar_Pradesh,Kanpur,"NSI Kalyanpur, Kanpur - UPPCB",15-01-2026 12:00,26.509954,80.249612,SO2,21,23,21
India,Uttar_Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",15-01-2026 12:00,26.4703136,80.3229863,NO2,52,58,55
India,Uttar_Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",15-01-2026 12:00,26.4703136,80.3229863,OZONE,6,23,11
India,Uttar_Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",15-01-2026 12:00,27.19865833,78.00598056,SO2,18,19,18
India,Uttar_Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",15-01-2026 12:00,27.19865833,78.00598056,CO,32,78,34
India,Uttar_Pradesh,Agra,"Shahjahan Garden, Agra - UPPCB",15-01-2026 12:00,27.169338,78.03582,NH3,6,6,6
India,Uttar_Pradesh,Agra,"Shahjahan Garden, Agra - UPPCB",15-01-2026 12:00,27.169338,78.03582,CO,4,61,10
